lname,sname,ladv,ldiam,weight,bdia,gdia,length,cog,comment,source
TWSBI precision 0.5,TWSBI precision,2.2,0.5,25.5,8,8,140,,,Bleistift
Monami 153 0.5,Monami 153,0.85,0.5,22,8.5,8.5,155,,,Bleistift
Cult Pencil 0.5,Cult Pencil,0.5,0.5,16,8.5,8.5,135,,,Bleistift
Staedtler 925-15 0.3,Staedtler 925-15,0.3,0.3,9.5,8.5,9.5,140,,,Bleistift
Kaweco Special 0.5,Kaweco Special,0.65,0.5,18,9.5,9.5,140,,weight incl.clip,Bleistift
Lamy cp1 twin 0.5,Lamy cp1 twin,0.8,0.5,24,9,8,150,,,Bleistift
Zebra TS3 0.5,Zebra TS3,0.7,0.5,6.5,5,5,100,,,Bleistift
TWSBI Jr Pagoda 0.5,TWSBI Jr Pagoda,0.9,0.5,12,,9.5,140,,,Bleistift
Diplomat Aero 0.7,Diplomat Aero,0.9,0.7,44,15,,140,80/140,no defined gdia,DMP
"Rotring 300 0,35",Rotring 300,0.4,0.35,8.5,8.5,6.5,140,71/140,bdia hexagonal:8.25-8.9,Bleistift
"Rotring 500 0,5",Rotring 500,,0.5,13,,,,,,Bleistift
"Rotring 600 0,35",Rotring 600,,0.35,22.5,,,,,,Bleistift
Rotring 800+ 0.5,Rotring 800+,,0.5,24.5,,,,,,Bleistift
Rotring Rapid 0.35,Rotring Rapid,0.5,0.35,13,9.5,9.9,150,73/150,gdia measured at front of rubber grip,Bleistift
Caran d'Ache 888 Infinite,Caran d'Ache 888,,0.7,16,,10.5,145,65/145,"gdia measured flat to flat, corner to corner dia is 11.2",
